abandon			[포기하다]
fortunately [다행스럽게]	fortunate [다행스러운]	
foster [육성하다, 촉진하다, 조성하다]
foundation  [창설, 설립, 재단]	
fragile 	[깨지기 쉬운]
frankly [솔직히] 
freeze  [얼다]	
frequent [빈번한]   frequently [자주, 빈번히]
frighten [소스라쳐 놀라게 하다]
frown [얼굴을 찡그리다]	
frustrated [좌절감을 느끼는]	frustrate [좌절시키다]	
                             frustration [좌절] 
fuel [연료]             fuel-saving [연료를 절약하는]
fulfill [달성하다, 성취하다]
full  [가득 찬], 완전한, 한창때	   fully [완전히]	
fund  [자금, 기금]	
function [기능]
further  [그 이상의,far 의 비교급-정도], [더 멀리=farther]
furthermore [더욱이]
G
gain [얻다=get]
gallon [갤런] 		
gap [차이]	
gather [모으다]	
gear [기어], [기어를 넣다]
gene[유전자]	
general [일반적인]	
generate [발생시키다]     generation [세대], 발생	
generous [관대한]
genre [쟝르]	
genuine [진짜의]
geometry [기하학]	
get  [get along], [get on], [get rid of], [get up],
     [얻다], [되다], [도착하다], [이해하다]
glacier [빙하]
gladly [기꺼이, 즐거이]
glaringly [눈부시게, 역력하게]
gloomy [어두운, 우울한]
glorious [영광스러운]	
goal [목적]		
goat [염소]		
good [좋은], [be good at], 선, 이익, [물건(상품)] 
goodwill  [호의, 친절]
govern  [지배하다] 	
government [정부]
grace 	[우아], [우아하게하다]
grade [등급]
grader   [~ 학년생], {채점자]
gradually [점차로]	
graduate [졸업하다]
grain  [곡식]	
grand [웅장한, 웅대한]	
grant  [take it for granted that], [장학금] 인정하다, 주다
graph 	[도표], [그래프]
grasp 	[붙잡다] [움켜잡기]
grass  [풀, 잔디]
grave [무덤]
great-grandfather [증조부]	
greatly [크게] [위대하게]
greeting [인사]	
grocery [식료 잡화점]	
ground  [운동장, 땅], 입장, 근거
guarantee [보증], [보장, 보장하다]	
guidance  [안내]	
guilty  [유죄의]               guilt [죄]	
gust [일진 광풍]	
gym [체육관=gymnasium]
H
halve [이등분하다]
hand  [the upper hand], [on the other hand], [손] 
handlebars [자전거의 핸들]
handle [다루다]	  
happen  [발생하다]	
hard [힘든], {열심히], [어려운] 
hardly  [거의 - 않다]	
hardship [곤란] [결핍]
hard-working 	[근면한, 열심히 일하는]
harm [해, 해로움]	harmful [해로운]
harmonious [조화된]	     harmony [조화]	
harsh [거친] [거슬리는]
hasten 	[서두르게하다] [서두르다]
haul [세게 잡아당기다] 
head-on [정면으로] [정면의]
heal [치료하다, 낫다]	    healer  [치료자]
                          healing [치료의]
helmet  [헬멭]	
